gene	Ctrl1-SRR5136882	Ctrl2-SRR5136883	Ctrl3-SRR5137136	ZIKV1-SRR5137139	ZIKV2-SRR5137142	ZIKV3-SRR5137144
Chn2	3526.094328	3431.991804	3312.133295	2669.652671	3425.618175	3110.893927
Chodl	699.8863978	773.2155448	689.0162108	532.7908746	658.0630964	592.5034841
Chordc1	5506.883927	6166.733099	5660.106322	6192.150628	7020.804009	6624.810529
Chp1	5056.956957	5455.917405	5415.020019	4423.778777	4127.610717	4142.511669
Chp2	106.6493559	95.86064064	94.79753236	37.03893781	35.14355655	11.02798363
Chpf	6101.2319	6485.062774	6178.024548	5160.758668	4949.96994	5177.137042
Chpf2	1312.009263	1390.883635	1430.055458	1656.305321	1238.810368	1467.724367
Chpt1	3039.506642	2792.619418	2767.625518	4062.886563	3965.950356	4021.203849
Chrac1	717.6612904	701.7722371	724.8543023	741.7284725	874.1959691	863.1903549
Chrd	487.6986169	476.5901662	723.6982348	599.2710194	580.747272	596.5136599
Chrdl1	792.0936534	823.8589021	995.3740898	660.0528661	566.6898493	711.806216
Chrdl2	34.43885449	35.26948099	33.52595657	18.99432708	25.4790785	18.04579139
Chrm1	5112.503496	5996.716114	5173.401918	2476.860251	3760.360551	3544.995465
Chrm2	1744.161341	1522.013757	1509.824113	1139.659625	1365.327172	1205.057847
Chrm3	2370.726306	2539.402631	2368.782242	1261.223318	1337.212327	1205.057847
Chrm4	446.5941776	568.8334242	264.7394501	451.1152682	556.1467824	502.2745271
Chrm5	271.0671128	255.9298236	213.8724815	161.4517802	191.5323832	179.45537
Chrna1	56.6574703	40.69555499	67.05191313	97.82078447	103.6734918	69.17553367
Chrna10	4.443723161	0.904345666	6.936404807	2.849149062	5.271533482	4.010175865
Chrna2	88.87446321	76.86938164	75.14438541	30.39092333	43.92944569	31.07886295
Chrna3	1059.827974	1007.441072	972.2527404	377.9871089	459.5020019	435.1040814
Chrna4	5540.211851	5656.682143	4500.570652	3129.315387	3228.814258	3020.66497
Chrna5	576.5730801	573.3551525	590.750476	170.9489437	273.2411522	283.7199425
Chrna6	79.98701689	88.62587531	27.74561923	32.29035604	7.02871131	26.06614312
Chrna7	1270.904824	1151.232033	1034.680384	727.4827272	861.8957243	836.1216679
Chrna9	4.443723161	1.808691333	5.780337339	13.29602896	15.81460045	15.03815949
Chrnb1	77.76515531	75.06069031	120.2310167	263.0714301	150.2387042	190.4833536
Chrnb2	7428.794194	7856.050804	7519.062811	3793.167118	4252.370342	4040.252184
Chrnb3	172.1942725	146.503998	48.55483365	79.77617374	7.02871131	48.12211038
Chrnb4	32.21699291	52.45204865	67.05191313	79.77617374	48.32239025	65.16535781
Chrnd	0	1.808691333	0	3.798865416	1.757177827	0
Chrne	8.887446321	5.426073998	18.49707948	30.39092333	12.30024479	34.08649485
Chrng	1.11093079	7.234765331	0	4.74858177	4.392944569	4.010175865
Chst1	6465.617199	7324.295552	6480.914224	2873.841687	4258.520465	3479.830107
Chst10	7513.224934	7581.129721	7314.438869	5161.708384	5366.421085	5035.778343
Chst11	5202.48889	5722.699377	5440.453503	3883.390172	3925.535266	4146.521844
Chst12	1396.440003	1571.752768	1191.905559	759.7730832	940.0901377	879.2310584
Chst13	0	14.46953066	9.248539742	1.899432708	2.635766741	2.005087933
Chst14	184.4145112	196.2430096	228.9013586	439.7186719	340.8924985	411.0430262
Chst15	3266.136523	3347.887657	3738.722191	2252.727192	2071.712659	2107.347417
Chst2	15518.59221	16063.89207	15984.94488	12040.50394	9631.970261	11580.38535
