name	CTRL-1	CTRL-2	CTRL-3	CTRL-4	CTRL-5	CTRL-6	CTRL-7	CTRL-8	ZIKV-1	ZIKV-2	ZIKV-3	ZIKV-4	ZIKV-5	ZIKV-6	ZIKV-7	ZIKV-8
O-Acetyl-serine	0.000102108	9.21329E-05	0.000106525	0.000132989	0.000184639	0.000141231	0.000154382	8.25732E-05	0.000180811	0.000150996	0.000130164	0.000120789	0.000227809	0.000105781	8.57356E-05	0.000116021
G6P-F6P	0.001416844	0.001795981	0.001309502	0.001273863	0.002337138	0.002008616	0.00183922	0.001848795	0.00185432	0.001672018	0.001752287	0.00162147	0.001805002	0.002185151	0.001609257	0.002278636
Ornithine	0.000682251	0.000502712	0.000599193	0.000461127	0.000477568	0.00047968	0.000418757	0.000509994	0.000561324	0.00062194	0.000895234	0.000477889	0.000589048	0.000477102	0.000445772	0.000425373
Carnitine-C5	0.011634958	0.043911337	0.015584787	0.011639797	0.008810607	0.009101255	0.012523913	0.009535537	0.021311844	0.022894237	0.024459809	0.018175178	0.015884332	0.011345185	0.020963742	0.012042947
Ribose 5-phosphate	0.000905899	0.000867075	0.000907641	0.000915528	0.000793405	0.000857652	0.000939139	0.000978284	0.000912133	0.001007222	0.000859919	0.000898768	0.00088234	0.000811093	0.000773964	0.000849462
N-Acetyl-L-lysine	0.001900275	0.001865719	0.001076147	0.001843169	0.002065798	0.001988553	0.002019416	0.00210546	0.00230984	0.002099655	0.001233487	0.001987206	0.002036435	0.001923488	0.001794398	0.002313071
1-Methylnicotinamide	0.000527416	0.000639747	4.36314E-05	2.47303E-05	0.000759011	0.000719566	0.000498003	0.000422064	0.000277237	0.000210225	0.000217089	0.001541812	0.001152695	0.000134803	0.000920824	0.000240447
Lactic acid	0.000775254	0.000732173	0.000645015	0.000718487	0.000626201	0.000652141	0.000580657	0.00063414	0.000566561	0.000698661	0.000735561	0.000610775	0.000843636	0.001005853	0.000614689	0.000571532
Anserine	0.000248781	0.000160857	0.000369949	0.000283916	0.000164459	0.000260224	0.0001918	0.000147569	0.000170941	0.000150669	0.000278168	0.000164088	0.000247529	0.000233197	0.000226823	0.000648399
Pyruvate	7.36902E-05	6.46989E-05	6.42951E-05	5.53729E-05	4.98545E-05	7.07201E-05	7.33842E-05	6.88841E-05	5.59909E-05	5.56882E-05	6.3165E-05	4.96391E-05	8.03873E-05	7.03685E-05	5.83701E-05	6.78206E-05
Choline	0.003570637	0.003803417	0.003813565	0.003576236	0.003799353	0.003678614	0.003061192	0.003489859	0.001956195	0.002593892	0.003132651	0.004694484	0.003461404	0.004358246	0.00412119	0.003072831
GDP	0.036759365	0.032734535	0.033824466	0.039380407	0.031374144	0.038115632	0.037909059	0.036075578	0.035595515	0.037715248	0.03379959	0.037958299	0.035783153	0.034248522	0.031837909	0.03466607
NAAD	7.19166E-06	6.05935E-06	5.18897E-06	5.74357E-06	6.94353E-06	6.84532E-06	7.19051E-06	7.34161E-06	6.66633E-06	7.8348E-06	6.66998E-06	7.30441E-06	7.76589E-06	5.90223E-06	4.82198E-06	7.21622E-06
Trimethylamine N-oxide	0.000160006	0.000155756	5.42329E-05	4.69119E-05	8.4741E-05	0.000108467	7.4838E-05	4.72169E-05	4.1521E-05	5.30897E-05	0.000266973	2.68824E-05	5.70602E-05	5.31292E-05	1.91505E-05	0.000111198
Urea	0.003355482	0.003382649	0.002879839	0.002315668	0.003799794	0.003381172	0.002839703	0.002817415	0.004216582	0.00289313	0.00314198	0.002340829	0.004583532	0.002574108	0.002903077	0.003003201
S-Methyl-5'-thioadenosine	0.004440398	0.004338903	0.003869031	0.003542997	0.005119523	0.004334142	0.004771765	0.004307481	0.004904255	0.004586782	0.00422132	0.004731109	0.004620684	0.003877095	0.003665052	0.004701587
Citrate	0.016492626	0.017449066	0.012997461	0.012694044	0.017826926	0.02091029	0.018148605	0.017442607	0.016794924	0.014218207	0.016836532	0.016300294	0.017176918	0.01545083	0.016247257	0.018500417
N,N-Dimethylglycine	0.004765905	0.004864516	0.005023607	0.004715068	0.004946249	0.004842179	0.00459997	0.004582693	0.002907972	0.004112256	0.004303876	0.006428846	0.004830259	0.006097008	0.005964145	0.004631795
N-Acetylputrescine	0.00131007	0.000763482	0.000904266	0.001022108	0.000764593	0.000894882	0.000910956	0.00096302	0.0013286	0.001185744	0.000809249	0.00106003	0.000980661	0.000719805	0.0005923	0.001039565
Alpha-Ketoglutaric acid	0.000596328	0.000678177	0.000584415	0.000480865	0.000674665	0.000799339	0.000879293	0.000688142	0.000623283	0.000462811	0.000609837	0.000596679	0.000744547	0.00072109	0.00070395	0.000820114
Dehydro-L-ascorbic acid dimer	6.48467E-05	0.000111254	0.000141906	0.000123421	0.000111823	9.70483E-05	7.6649E-05	0.000130845	6.08493E-05	0.000177467	0.00011273	8.77237E-05	0.000177961	9.06723E-05	4.13689E-05	0.00013953
GMP	0.005980157	0.004643582	0.004608893	0.007281361	0.004236186	0.005989808	0.005367472	0.005155908	0.004616956	0.005889372	0.004492344	0.006860929	0.004816252	0.005472412	0.006281771	0.00515136
S-(5'-Adenosyl)-L-homocysteine	1.18449E-05	9.93485E-06	1.09804E-05	5.69457E-06	5.53501E-06	1.19317E-05	1.17503E-05	1.24306E-05	9.51641E-06	9.30537E-06	1.57669E-05	1.50047E-05	1.05481E-05	4.78289E-06	4.54165E-06	9.59597E-06
Sorbitol	2.73678E-05	3.19194E-05	2.83251E-05	2.98176E-05	2.37492E-05	2.28981E-05	3.1384E-05	3.7807E-05	6.131E-05	2.56692E-05	2.81862E-05	1.23362E-05	3.44495E-05	2.00553E-05	1.78825E-05	3.43251E-05
Succinate	0.002610992	0.002933208	0.002949813	0.002815833	0.002656417	0.002747758	0.002708922	0.002528001	0.002509155	0.002590734	0.00296628	0.002731228	0.002385324	0.003060475	0.002915362	0.002802956
